chained,6,0,15,0,0.0594059,1
rbtree,6,0,86,0,8
rbtree,101,0,5319,118,389
chained,101,0,525,38,1,4
rbtree,1001,23,88691,1279,4176
chained,1001,3,31595,900,9.91089,18
rbtree,10001,87,1276671,13108,42246
chained,10001,103,2759876,9900,99.0198,127
rbtree,50001,340,7740609,65647,211302
chained,50001,2551,63256135,49900,495.059,552
rbtree,100001,738,16659301,131215,422579
chained,100001,12347,247146522,99900,990.109,1079
rbtree,101,2,5319,118,389
rbtree,3,0,22,0,1
chained,3,0,9,0,0.029703,1
chained,3,0,9,0,0.029703,1
rbtree,3,0,22,0,1
rbtree,3,0,22,0,1
chained,3,0,9,0,0.029703,1
rbtree,4,0,29,0,5
chained,4,0,7,0,0.039604,1
chained,14,0,20,2,0.138614,2
chained,23,0,41,4,0.227723,3
chained,23,1,41,4,0.227723,3
chained,20,1,38,4,0.19802,3
chained,20,1,38,4,0.19802,3
chained,20,0,38,4,0.19802,3
chained,20,0,38,4,0.19802,3
chained,20,0,41,3,0.19802,3
chained,10,0,19,1,0.0990099,2
chained,9,0,18,1,0.0891089,2
chained,8,0,17,0,0.0792079,1
chained,8,0,17,0,0.0792079,1
chained,8,0,17,0,0.0792079,1
chained,9,0,18,0,0.0891089,1
chained,9,0,18,0,0.0891089,1
chained,9,0,18,0,0.0891089,1
chained,9,18,18,0,0.0891089,1
rbtree,9,0,144,3,15
rbtree,9,46,144,3,15
chained,9,0,18,0,0.0891089,1
chained,10,0,16,0,0.0990099,1
